size,cycles,type,dpu
64,211216,enc,0
64,211552,dec,0
64,209568,enc,1
64,209904,dec,1
64,210400,enc,2
64,210784,dec,2
64,208752,enc,3
64,209072,dec,3
64,208752,enc,4
64,209072,dec,4
64,210400,enc,5
64,210736,dec,5
64,213696,enc,6
64,214032,dec,6
64,212896,enc,7
64,213200,dec,7
64,207920,enc,8
64,208256,dec,8
64,209568,enc,9
64,209904,dec,9
64,208752,enc,10
64,209072,dec,10
64,212048,enc,11
64,212384,dec,11
64,210400,enc,12
64,210784,dec,12
64,217056,enc,13
64,217392,dec,13
64,216992,enc,14
64,217376,dec,14
64,205520,enc,15
64,205776,dec,15
64,221120,enc,16
64,221456,dec,16
64,207104,enc,17
64,207424,dec,17
64,212896,enc,18
64,213200,dec,18
64,214528,enc,19
64,214848,dec,19
64,212048,enc,20
64,212560,dec,20
64,215344,enc,21
64,215680,dec,21
64,215344,enc,22
64,215680,dec,22
64,212048,enc,23
64,212560,dec,23
64,211216,enc,24
64,211552,dec,24
64,206272,enc,25
64,206624,dec,25
64,200608,enc,26
64,200832,dec,26
64,213696,enc,27
64,214032,dec,27
64,212048,enc,28
64,212544,dec,28
64,212048,enc,29
64,212560,dec,29
64,219472,enc,30
64,219808,dec,30
64,218656,enc,31
64,218976,dec,31
64,213696,enc,32
64,214032,dec,32
64,212048,enc,33
64,212384,dec,33
64,217840,enc,34
64,218160,dec,34
64,211216,enc,35
64,211552,dec,35
64,211216,enc,36
64,211552,dec,36
64,216992,enc,37
64,217376,dec,37
64,207920,enc,38
64,208256,dec,38
64,208752,enc,39
64,209072,dec,39
64,213696,enc,40
64,214048,dec,40
64,216176,enc,41
64,216544,dec,41
64,204624,enc,42
64,204960,dec,42
64,212976,enc,43
64,213200,dec,43
64,206272,enc,44
64,206624,dec,44
64,212896,enc,45
64,213200,dec,45
64,207104,enc,46
64,207424,dec,46
64,207920,enc,47
64,208256,dec,47
64,204624,enc,48
64,204960,dec,48
64,218656,enc,49
64,218976,dec,49
64,209568,enc,50
64,209904,dec,50
64,212048,enc,51
64,212384,dec,51
64,214624,enc,52
64,214848,dec,52
64,212880,enc,53
64,213376,dec,53
64,207952,enc,54
64,208256,dec,54
64,213696,enc,55
64,214032,dec,55
64,202976,enc,56
64,203312,dec,56
64,212048,enc,57
64,212384,dec,57
64,206272,enc,58
64,206624,dec,58
64,212896,enc,59
64,213200,dec,59
64,203792,enc,60
64,204128,dec,60
64,209568,enc,61
64,209904,dec,61
64,213696,enc,62
64,214032,dec,62
64,216992,enc,63
64,217376,dec,63
128,373504,enc,0
128,373824,dec,0
128,380960,enc,1
128,381440,dec,1
128,364640,enc,2
128,364928,dec,2
128,361696,enc,3
128,362032,dec,3
128,367776,enc,4
128,367888,dec,4
128,382400,enc,5
128,382736,dec,5
128,378048,enc,6
128,378336,dec,6
128,380960,enc,7
128,381344,dec,7
128,379440,enc,8
128,379760,dec,8
128,376608,enc,9
128,377040,dec,9
128,374976,enc,10
128,375344,dec,10
128,373504,enc,11
128,373824,dec,11
128,373504,enc,12
128,373824,dec,12
128,372128,enc,13
128,372336,dec,13
128,367760,enc,14
128,367888,dec,14
128,367600,enc,15
128,367888,dec,15
128,364784,enc,16
128,365024,dec,16
128,366080,enc,17
128,366512,dec,17
128,375184,enc,18
128,375344,dec,18
128,367568,enc,19
128,368000,dec,19
128,373600,enc,20
128,373936,dec,20
128,378064,enc,21
128,378336,dec,21
128,380928,enc,22
128,381344,dec,22
128,364592,enc,23
128,364912,dec,23
128,385376,enc,24
128,385712,dec,24
128,377968,enc,25
128,378416,dec,25
128,358768,enc,26
128,359056,dec,26
128,364608,enc,27
128,364944,dec,27
128,370640,enc,28
128,370944,dec,28
128,382592,enc,29
128,382816,dec,29
128,363264,enc,30
128,363568,dec,30
128,370624,enc,31
128,370960,dec,31
128,376608,enc,32
128,377024,dec,32
128,360160,enc,33
128,360544,dec,33
128,376496,enc,34
128,376800,dec,34
128,370528,enc,35
128,370944,dec,35
128,367552,enc,36
128,367888,dec,36
128,364768,enc,37
128,365024,dec,37
128,382400,enc,38
128,382736,dec,38
128,384000,enc,39
128,384256,dec,39
128,364624,enc,40
128,364944,dec,40
128,372080,enc,41
128,372336,dec,41
128,370640,enc,42
128,370944,dec,42
128,373600,enc,43
128,373936,dec,43
128,374976,enc,44
128,375312,dec,44
128,373600,enc,45
128,373936,dec,45
128,370528,enc,46
128,370944,dec,46
128,363104,enc,47
128,363440,dec,47
128,376592,enc,48
128,376880,dec,48
128,374976,enc,49
128,375312,dec,49
128,379760,enc,50
128,379984,dec,50
128,369104,enc,51
128,369376,dec,51
128,376464,enc,52
128,376864,dec,52
128,373600,enc,53
128,373936,dec,53
128,369104,enc,54
128,369376,dec,54
128,369072,enc,55
128,369456,dec,55
128,378064,enc,56
128,378336,dec,56
128,377968,enc,57
128,378288,dec,57
128,364656,enc,58
128,364944,dec,58
128,372144,enc,59
128,372336,dec,59
128,361616,enc,60
128,362048,dec,60
128,369088,enc,61
128,369456,dec,61
128,363312,enc,62
128,363568,dec,62
128,366160,enc,63
128,366480,dec,63
256,685168,enc,0
256,685584,dec,0
256,707616,enc,1
256,708144,dec,1
256,685328,enc,2
256,685552,dec,2
256,671296,enc,3
256,671520,dec,3
256,685328,enc,4
256,685616,dec,4
256,685312,enc,5
256,685552,dec,5
256,682480,enc,6
256,682800,dec,6
256,699280,enc,7
256,699744,dec,7
256,705088,enc,8
256,705136,dec,8
256,690848,enc,9
256,691184,dec,9
256,688080,enc,10
256,688304,dec,10
256,718880,enc,11
256,719344,dec,11
256,688128,enc,12
256,688400,dec,12
256,718848,enc,13
256,719168,dec,13
256,716192,enc,14
256,716448,dec,14
256,651536,enc,15
256,651936,dec,15
256,690928,enc,16
256,691184,dec,16
256,657280,enc,17
256,657632,dec,17
256,668560,enc,18
256,668864,dec,18
256,713328,enc,19
256,713712,dec,19
256,660624,enc,20
256,662032,dec,20
256,716032,enc,21
256,716352,dec,21
256,677360,enc,22
256,677392,dec,22
256,693760,enc,23
256,694128,dec,23
256,682416,enc,24
256,682896,dec,24
256,699280,enc,25
256,699728,dec,25
256,716192,enc,26
256,716448,dec,26
256,718912,enc,27
256,719184,dec,27
256,730976,enc,28
256,731760,dec,28
256,713296,enc,29
256,713664,dec,29
256,716032,enc,30
256,716368,dec,30
256,693600,enc,31
256,693984,dec,31
256,682496,enc,32
256,682784,dec,32
256,696768,enc,33
256,696864,dec,33
256,699280,enc,34
256,699536,dec,34
256,688128,enc,35
256,688416,dec,35
256,679728,enc,36
256,679984,dec,36
256,699280,enc,37
256,699536,dec,37
256,696448,enc,38
256,696720,dec,38
256,693824,enc,39
256,694096,dec,39
256,696400,enc,40
256,696848,dec,40
256,710448,enc,41
256,711008,dec,41
256,677216,enc,42
256,677488,dec,42
256,685168,enc,43
256,685616,dec,43
256,693584,enc,44
256,694080,dec,44
256,674016,enc,45
256,674336,dec,45
256,699456,enc,46
256,699552,dec,46
256,708112,enc,47
256,708464,dec,47
256,696768,enc,48
256,696864,dec,48
256,682464,enc,49
256,682880,dec,49
256,685168,enc,50
256,685616,dec,50
256,682544,enc,51
256,682848,dec,51
256,699280,enc,52
256,699744,dec,52
256,685168,enc,53
256,685600,dec,53
256,702480,enc,54
256,702784,dec,54
256,704896,enc,55
256,705248,dec,55
256,688080,enc,56
256,688304,dec,56
256,668544,enc,57
256,668864,dec,57
256,718992,enc,58
256,719168,dec,58
256,662784,enc,59
256,663152,dec,59
256,696768,enc,60
256,696864,dec,60
256,702208,enc,61
256,702752,dec,61
256,690928,enc,62
256,691184,dec,62
256,699280,enc,63
256,699536,dec,63
512,1342304,enc,0
512,1342896,dec,0
512,1331584,enc,1
512,1331728,dec,1
512,1309808,enc,2
512,1310048,dec,2
512,1315280,enc,3
512,1315424,dec,3
512,1364848,enc,4
512,1365456,dec,4
512,1364848,enc,5
512,1365456,dec,5
512,1358752,enc,6
512,1358960,dec,6
512,1320512,enc,7
512,1320800,dec,7
512,1320512,enc,8
512,1320784,dec,8
512,1326144,enc,9
512,1326384,dec,9
512,1298720,enc,10
512,1299072,dec,10
512,1331296,enc,11
512,1331632,dec,11
512,1274416,enc,12
512,1275232,dec,12
512,1348048,enc,13
512,1348288,dec,13
512,1309728,enc,14
512,1310080,dec,14
512,1309792,enc,15
512,1310080,dec,15
512,1298864,enc,16
512,1299232,dec,16
512,1320400,enc,17
512,1320880,dec,17
512,1358976,enc,18
512,1359120,dec,18
512,1325952,enc,19
512,1326336,dec,19
512,1358960,enc,20
512,1359136,dec,20
512,1369824,enc,21
512,1369984,dec,21
512,1364560,enc,22
512,1365456,dec,22
512,1409904,enc,23
512,1410640,dec,23
512,1402192,enc,24
512,1402576,dec,24
512,1325984,enc,25
512,1326288,dec,25
512,1369664,enc,26
512,1370032,dec,26
512,1380400,enc,27
512,1380688,dec,27
512,1369824,enc,28
512,1369984,dec,28
512,1309808,enc,29
512,1310080,dec,29
512,1336976,enc,30
512,1337232,dec,30
512,1326000,enc,31
512,1326272,dec,31
512,1326016,enc,32
512,1326320,dec,32
512,1293392,enc,33
512,1293680,dec,33
512,1353824,enc,34
512,1353744,dec,34
512,1309728,enc,35
512,1310080,dec,35
512,1304832,enc,36
512,1305344,dec,36
512,1320464,enc,37
512,1320928,dec,37
512,1315280,enc,38
512,1315568,dec,38
512,1358656,enc,39
512,1359120,dec,39
512,1309728,enc,40
512,1310080,dec,40
512,1298800,enc,41
512,1299104,dec,41
512,1342848,enc,42
512,1342896,dec,42
512,1353824,enc,43
512,1353744,dec,43
512,1347808,enc,44
512,1348272,dec,44
512,1337056,enc,45
512,1337424,dec,45
512,1337152,enc,46
512,1337392,dec,46
512,1331584,enc,47
512,1331728,dec,47
512,1320608,enc,48
512,1320816,dec,48
512,1320464,enc,49
512,1320800,dec,49
512,1342848,enc,50
512,1342896,dec,50
512,1375088,enc,51
512,1375440,dec,51
512,1315200,enc,52
512,1315424,dec,52
512,1293376,enc,53
512,1293664,dec,53
512,1358832,enc,54
512,1359024,dec,54
512,1325984,enc,55
512,1326288,dec,55
512,1358880,enc,56
512,1359120,dec,56
512,1293376,enc,57
512,1293664,dec,57
512,1315184,enc,58
512,1315504,dec,58
512,1369824,enc,59
512,1369984,dec,59
512,1353792,enc,60
512,1353616,dec,60
512,1326016,enc,61
512,1326320,dec,61
512,1315200,enc,62
512,1315424,dec,62
512,1282496,enc,63
512,1282704,dec,63
1024,2580528,enc,0
1024,2580976,dec,0
1024,2645088,enc,1
1024,2645440,dec,1
1024,2666560,enc,2
1024,2666912,dec,2
1024,2580528,enc,3
1024,2580976,dec,3
1024,2623568,enc,4
1024,2624080,dec,4
1024,2679152,enc,5
1024,2679488,dec,5
1024,2708928,enc,6
1024,2709296,dec,6
1024,2623808,enc,7
1024,2624080,dec,7
1024,2719872,enc,8
1024,2720096,dec,8
1024,2580640,enc,9
1024,2580832,dec,9
1024,2645168,enc,10
1024,2645312,dec,10
1024,2679152,enc,11
1024,2679488,dec,11
1024,2634960,enc,12
1024,2635056,dec,12
1024,2623792,enc,13
1024,2624064,dec,13
1024,2666560,enc,14
1024,2666928,dec,14
1024,2645088,enc,15
1024,2645328,dec,15
1024,2645152,enc,16
1024,2645344,dec,16
1024,2634432,enc,17
1024,2635056,dec,17
1024,2526896,enc,18
1024,2527248,dec,18
1024,2767696,enc,19
1024,2768464,dec,19
1024,2560640,enc,20
1024,2561024,dec,20
1024,2666464,enc,21
1024,2666832,dec,21
1024,2601968,enc,22
1024,2602208,dec,22
1024,2806480,enc,23
1024,2806816,dec,23
1024,2666752,enc,24
1024,2666816,dec,24
1024,2688176,enc,25
1024,2688416,dec,25
1024,2516400,enc,26
1024,2516480,dec,26
1024,2656560,enc,27
1024,2657072,dec,27
1024,2569904,enc,28
1024,2570224,dec,28
1024,2645088,enc,29
1024,2645328,dec,29
1024,2601952,enc,30
1024,2602208,dec,30
1024,2656256,enc,31
1024,2656800,dec,31
1024,2569968,enc,32
1024,2570208,dec,32
1024,2612752,enc,33
1024,2612784,dec,33
1024,2548384,enc,34
1024,2548672,dec,34
1024,2687904,enc,35
1024,2688240,dec,35
1024,2656416,enc,36
1024,2656480,dec,36
1024,2688032,enc,37
1024,2688416,dec,37
1024,2623808,enc,38
1024,2624064,dec,38
1024,2719856,enc,39
1024,2720032,dec,39
1024,2623632,enc,40
1024,2623904,dec,40
1024,2548368,enc,41
1024,2548592,dec,41
1024,2623552,enc,42
1024,2624080,dec,42
1024,2666752,enc,43
1024,2666816,dec,43
1024,2452080,enc,44
1024,2452464,dec,44
1024,2688112,enc,45
1024,2688352,dec,45
1024,2537584,enc,46
1024,2537840,dec,46
1024,2708960,enc,47
1024,2709248,dec,47
1024,2569840,enc,48
1024,2570192,dec,48
1024,2656112,enc,49
1024,2656624,dec,49
1024,2516160,enc,50
1024,2516480,dec,50
1024,2623808,enc,51
1024,2624080,dec,51
1024,2645088,enc,52
1024,2645328,dec,52
1024,2591120,enc,53
1024,2591392,dec,53
1024,2698496,enc,54
1024,2698752,dec,54
1024,2612752,enc,55
1024,2612784,dec,55
1024,2591120,enc,56
1024,2591408,dec,56
1024,2773600,enc,57
1024,2773920,dec,57
1024,2560400,enc,58
1024,2560960,dec,58
1024,2602064,enc,59
1024,2602176,dec,59
1024,2612752,enc,60
1024,2612848,dec,60
1024,2591024,enc,61
1024,2591440,dec,61
1024,2679152,enc,62
1024,2679488,dec,62
