size,cycles,type,dpu
64,38304,enc,0
64,45920,dec,0
64,39616,enc,1
64,46432,dec,1
64,39424,enc,2
64,43536,dec,2
64,39936,enc,3
64,43408,dec,3
64,38608,enc,4
64,44128,dec,4
64,39648,enc,5
64,45888,dec,5
64,39456,enc,6
64,45120,dec,6
64,39424,enc,7
64,43552,dec,7
64,39936,enc,8
64,43440,dec,8
64,39872,enc,9
64,46320,dec,9
64,39312,enc,10
64,43664,dec,10
64,39456,enc,11
64,45152,dec,11
64,39872,enc,12
64,43680,dec,12
64,39936,enc,13
64,43408,dec,13
64,39872,enc,14
64,46320,dec,14
64,39936,enc,15
64,43520,dec,15
64,39632,enc,16
64,46128,dec,16
64,37680,enc,17
64,45952,dec,17
64,39936,enc,18
64,43408,dec,18
64,38320,enc,19
64,46672,dec,19
64,37680,enc,20
64,43616,dec,20
64,38304,enc,21
64,45920,dec,21
64,38752,enc,22
64,46496,dec,22
64,39744,enc,23
64,44304,dec,23
64,39872,enc,24
64,43408,dec,24
64,37680,enc,25
64,43872,dec,25
64,39424,enc,26
64,43552,dec,26
64,38992,enc,27
64,46256,dec,27
64,39536,enc,28
64,45696,dec,28
64,39872,enc,29
64,44128,dec,29
64,39936,enc,30
64,43408,dec,30
64,38320,enc,31
64,46672,dec,31
64,39936,enc,32
64,43440,dec,32
64,39872,enc,33
64,46320,dec,33
64,39632,enc,34
64,46208,dec,34
64,38736,enc,35
64,45760,dec,35
64,38320,enc,36
64,46256,dec,36
64,39200,enc,37
64,46208,dec,37
64,38336,enc,38
64,46240,dec,38
64,38992,enc,39
64,46464,dec,39
64,38960,enc,40
64,45792,dec,40
64,39424,enc,41
64,43552,dec,41
64,38880,enc,42
64,46800,dec,42
64,38784,enc,43
64,45952,dec,43
64,39312,enc,44
64,43664,dec,44
64,39440,enc,45
64,45936,dec,45
64,38720,enc,46
64,46176,dec,46
64,37888,enc,47
64,46272,dec,47
64,38336,enc,48
64,46240,dec,48
64,38768,enc,49
64,45536,dec,49
64,39328,enc,50
64,46320,dec,50
64,39632,enc,51
64,46224,dec,51
64,39936,enc,52
64,43408,dec,52
64,38320,enc,53
64,46672,dec,53
64,37680,enc,54
64,43936,dec,54
64,39872,enc,55
64,46320,dec,55
64,39632,enc,56
64,45712,dec,56
64,38016,enc,57
64,46064,dec,57
64,38992,enc,58
64,45984,dec,58
64,37680,enc,59
64,43872,dec,59
64,39424,enc,60
64,43904,dec,60
64,38992,enc,61
64,46256,dec,61
64,39312,enc,62
64,46320,dec,62
64,39872,enc,63
64,43648,dec,63
128,37776,enc,0
128,46064,dec,0
128,39008,enc,1
128,45856,dec,1
128,38400,enc,2
128,43392,dec,2
128,38048,enc,3
128,44192,dec,3
128,39488,enc,4
128,43632,dec,4
128,39760,enc,5
128,46512,dec,5
128,40064,enc,6
128,43472,dec,6
128,39504,enc,7
128,43392,dec,7
