size,cycles,type,dpu
64,17904,enc,0
64,17216,dec,0
64,17904,enc,1
64,17328,dec,1
64,17904,enc,2
64,17216,dec,2
64,17904,enc,3
64,17216,dec,3
64,17904,enc,4
64,17216,dec,4
64,17904,enc,5
64,17216,dec,5
64,17904,enc,6
64,17264,dec,6
64,17904,enc,7
64,17216,dec,7
64,17904,enc,8
64,17216,dec,8
64,17904,enc,9
64,17216,dec,9
64,17904,enc,10
64,17264,dec,10
64,17904,enc,11
64,17328,dec,11
64,17904,enc,12
64,17216,dec,12
64,17904,enc,13
64,17216,dec,13
64,17904,enc,14
64,17216,dec,14
64,17904,enc,15
64,17216,dec,15
64,17904,enc,16
64,17216,dec,16
64,17904,enc,17
64,17264,dec,17
64,17904,enc,18
64,17216,dec,18
64,17904,enc,19
64,17216,dec,19
64,17904,enc,20
64,17216,dec,20
64,17904,enc,21
64,17216,dec,21
64,17904,enc,22
64,17216,dec,22
64,17904,enc,23
64,17216,dec,23
64,17904,enc,24
64,17216,dec,24
64,17904,enc,25
64,17264,dec,25
64,17904,enc,26
64,17264,dec,26
64,17904,enc,27
64,17216,dec,27
64,17904,enc,28
64,17216,dec,28
64,17904,enc,29
64,17216,dec,29
64,17904,enc,30
64,17264,dec,30
64,17904,enc,31
64,17216,dec,31
64,17904,enc,32
64,17216,dec,32
64,17904,enc,33
64,17328,dec,33
64,17904,enc,34
64,17216,dec,34
64,17904,enc,35
64,17216,dec,35
64,17904,enc,36
64,17216,dec,36
64,17904,enc,37
64,17264,dec,37
64,17904,enc,38
64,17216,dec,38
64,17904,enc,39
64,17264,dec,39
64,17904,enc,40
64,17216,dec,40
64,17904,enc,41
64,17264,dec,41
64,17904,enc,42
64,17216,dec,42
64,17904,enc,43
64,17216,dec,43
64,17904,enc,44
64,17328,dec,44
64,17904,enc,45
64,17264,dec,45
64,17904,enc,46
64,17216,dec,46
64,17904,enc,47
64,17216,dec,47
64,17904,enc,48
64,17264,dec,48
64,17904,enc,49
64,17216,dec,49
64,17904,enc,50
64,17264,dec,50
64,17904,enc,51
64,17216,dec,51
64,17904,enc,52
64,17264,dec,52
64,17904,enc,53
64,17216,dec,53
64,17904,enc,54
64,17232,dec,54
64,17904,enc,55
64,17216,dec,55
64,17904,enc,56
64,17264,dec,56
64,17904,enc,57
64,17216,dec,57
64,17904,enc,58
64,17216,dec,58
64,17904,enc,59
64,17216,dec,59
64,17904,enc,60
64,17216,dec,60
64,17904,enc,61
64,17264,dec,61
64,17904,enc,62
64,17216,dec,62
64,17904,enc,63
64,17216,dec,63
128,34400,enc,0
128,33712,dec,0
128,34448,enc,1
128,33712,dec,1
128,34400,enc,2
128,33712,dec,2
128,34400,enc,3
128,33712,dec,3
128,34400,enc,4
128,33712,dec,4
128,34400,enc,5
128,33712,dec,5
128,34464,enc,6
128,33712,dec,6
128,34400,enc,7
128,33712,dec,7
128,34400,enc,8
128,33744,dec,8
128,34400,enc,9
128,33712,dec,9
128,34464,enc,10
128,33712,dec,10
128,34448,enc,11
128,33712,dec,11
128,34400,enc,12
128,33712,dec,12
128,34400,enc,13
128,33712,dec,13
128,34400,enc,14
128,33712,dec,14
128,34400,enc,15
128,33744,dec,15
128,34400,enc,16
128,33712,dec,16
128,34464,enc,17
128,33712,dec,17
128,34400,enc,18
128,33712,dec,18
128,34400,enc,19
128,33712,dec,19
128,34400,enc,20
128,33712,dec,20
128,34400,enc,21
128,33744,dec,21
128,34400,enc,22
128,33712,dec,22
128,34400,enc,23
128,33744,dec,23
128,34400,enc,24
128,33712,dec,24
128,34464,enc,25
128,33712,dec,25
128,34464,enc,26
128,33712,dec,26
128,34400,enc,27
128,33744,dec,27
128,34400,enc,28
128,33712,dec,28
128,34400,enc,29
128,33744,dec,29
128,34464,enc,30
128,33712,dec,30
128,34400,enc,31
128,33712,dec,31
128,34400,enc,32
128,33712,dec,32
128,34448,enc,33
128,33712,dec,33
128,34400,enc,34
128,33712,dec,34
128,34400,enc,35
128,33712,dec,35
128,34400,enc,36
128,33744,dec,36
128,34464,enc,37
128,33712,dec,37
128,34400,enc,38
128,33712,dec,38
128,34464,enc,39
128,33712,dec,39
128,34400,enc,40
128,33744,dec,40
128,34464,enc,41
128,33712,dec,41
128,34400,enc,42
128,33712,dec,42
128,34400,enc,43
128,33744,dec,43
128,34448,enc,44
128,33728,dec,44
128,34464,enc,45
128,33712,dec,45
128,34400,enc,46
128,33712,dec,46
128,34400,enc,47
128,33744,dec,47
128,34464,enc,48
128,33712,dec,48
128,34400,enc,49
128,33744,dec,49
128,34464,enc,50
128,33712,dec,50
128,34400,enc,51
128,33712,dec,51
128,34464,enc,52
128,33712,dec,52
128,34400,enc,53
128,33712,dec,53
128,34400,enc,54
128,33744,dec,54
128,34400,enc,55
128,33712,dec,55
128,34464,enc,56
128,33712,dec,56
128,34400,enc,57
128,33712,dec,57
128,34400,enc,58
128,33744,dec,58
128,34400,enc,59
128,33712,dec,59
128,34400,enc,60
128,33744,dec,60
128,34464,enc,61
128,33712,dec,61
128,34400,enc,62
