type,size,threads,time (rdtsc),clocks per sec,transfer rate (MB/s)
broadcast,64,1,369592,2095197276,22.14
gather,64,1,75364,2095197276,108.60
transfer,64,1,60632,2095197276,134.98
gather,64,1,70784,2095197276,115.62
broadcast,64,1,130146,2095197276,62.89
gather,64,1,69104,2095197276,118.44
transfer,64,1,51588,2095197276,158.65
gather,64,1,60992,2095197276,134.19
broadcast,64,1,109790,2095197276,74.55
gather,64,1,64200,2095197276,127.48
transfer,64,1,47208,2095197276,173.37
gather,64,1,62570,2095197276,130.80
broadcast,64,1,93330,2095197276,87.69
gather,64,1,54488,2095197276,150.20
transfer,64,1,45460,2095197276,180.03
gather,64,1,62554,2095197276,130.84
broadcast,64,1,96952,2095197276,84.42
gather,64,1,55434,2095197276,147.64
transfer,64,1,49238,2095197276,166.22
gather,64,1,63308,2095197276,129.28
broadcast,128,1,108670,2095197276,150.63
gather,128,1,71452,2095197276,229.09
transfer,128,1,48406,2095197276,338.15
gather,128,1,77218,2095197276,211.98
broadcast,128,1,108718,2095197276,150.56
gather,128,1,69314,2095197276,236.15
transfer,128,1,48876,2095197276,334.90
gather,128,1,76480,2095197276,214.03
broadcast,128,1,127752,2095197276,128.13
gather,128,1,71074,2095197276,230.31
transfer,128,1,48342,2095197276,338.60
gather,128,1,80812,2095197276,202.55
broadcast,128,1,106656,2095197276,153.47
gather,128,1,80974,2095197276,202.15
transfer,128,1,49176,2095197276,332.86
gather,128,1,81606,2095197276,200.58
broadcast,128,1,108294,2095197276,151.15
gather,128,1,69422,2095197276,235.79
transfer,128,1,49846,2095197276,328.39
gather,128,1,78194,2095197276,209.33
broadcast,256,1,127756,2095197276,256.25
gather,256,1,101734,2095197276,321.79
transfer,256,1,61970,2095197276,528.28
gather,256,1,114308,2095197276,286.40
broadcast,256,1,120806,2095197276,270.99
gather,256,1,99256,2095197276,329.83
transfer,256,1,62966,2095197276,519.92
gather,256,1,107752,2095197276,303.82
broadcast,256,1,126932,2095197276,257.91
gather,256,1,101288,2095197276,323.21
