type,size,threads,time (rdtsc),clocks per sec,transfer rate (MB/s)
broadcast,64,1,7196,2095283550,1137.40
gather,64,1,43075,2095283550,190.01
transfer,64,1,18023,2095283550,454.13
gather,64,1,42970,2095283550,190.47
broadcast,128,1,10336,2095283550,1583.73
gather,128,1,92654,2095283550,176.67
transfer,128,1,31957,2095283550,512.23
gather,128,1,81615,2095283550,200.57
broadcast,256,1,16734,2095283550,1956.42
gather,256,1,159226,2095283550,205.61
transfer,256,1,64668,2095283550,506.26
gather,256,1,159192,2095283550,205.66
broadcast,512,1,27942,2095283550,2343.34
gather,512,1,318705,2095283550,205.45
transfer,512,1,115893,2095283550,564.98
gather,512,1,315192,2095283550,207.74
broadcast,1024,1,51128,2095283550,2561.32
gather,1024,1,622212,2095283550,210.47
transfer,1024,1,241044,2095283550,543.28
gather,1024,1,610256,2095283550,214.59
broadcast,2048,1,63055,2095283550,4153.68
gather,2048,1,1028316,2095283550,254.70
transfer,2048,1,285474,2095283550,917.46
gather,2048,1,960624,2095283550,272.65
broadcast,4096,1,74821,2095283550,7000.99
gather,4096,1,2301439,2095283550,227.61
transfer,4096,1,273002,2095283550,1918.74
gather,4096,1,1743101,2095283550,300.51
broadcast,8192,1,112764,2095283550,9290.57
gather,8192,1,3472431,2095283550,301.70
transfer,8192,1,542022,2095283550,1932.84
gather,8192,1,3469465,2095283550,301.96
broadcast,16384,1,218128,2095283550,9605.75
gather,16384,1,6945793,2095283550,301.66
transfer,16384,1,1104474,2095283550,1897.09
gather,16384,1,7398074,2095283550,283.22
broadcast,32768,1,438003,2095283550,9567.44
gather,32768,1,13868521,2095283550,302.16
transfer,32768,1,2266519,2095283550,1848.90
gather,32768,1,13858101,2095283550,302.39
broadcast,65536,1,890683,2095283550,9409.78
gather,65536,1,28221431,2095283550,296.98
transfer,65536,1,4952499,2095283550,1692.30
gather,65536,1,28162637,2095283550,297.60
broadcast,131072,1,1806736,2095283550,9277.65
gather,131072,1,56767769,2095283550,295.28
transfer,131072,1,9054691,2095283550,1851.22
gather,131072,1,56292030,2095283550,297.77
broadcast,262144,1,3635211,2095283550,9222.17
gather,262144,1,113919664,2095283550,294.28
transfer,262144,1,18117700,2095283550,1850.37
gather,262144,1,113469912,2095283550,295.45
broadcast,524288,1,7291159,2095283550,9195.94
gather,524288,1,255773088,2095283550,262.14
transfer,524288,1,63705698,2095283550,1052.48
gather,524288,1,257158352,2095283550,260.73
broadcast,1048576,1,14593380,2095283550,9188.97
gather,1048576,1,527475355,2095283550,254.23
transfer,1048576,1,167039338,2095283550,802.79
gather,1048576,1,526278613,2095283550,254.80
broadcast,2097152,1,29105777,2095283550,9214.54
gather,2097152,1,1095328271,2095283550,244.85
transfer,2097152,1,358386446,2095283550,748.34
gather,2097152,1,1099376277,2095283550,243.95
broadcast,4194304,1,57942308,2095283550,9257.36
gather,4194304,1,2217754536,2095283550,241.86
transfer,4194304,1,789275162,2095283550,679.60
gather,4194304,1,2235402852,2095283550,239.95
broadcast,8388608,1,121942746,2095283550,8797.45
gather,8388608,1,4427390647,2095283550,242.31
transfer,8388608,1,1607207718,2095283550,667.48
gather,8388608,1,4497509658,2095283550,238.53
broadcast,16777216,1,255844293,2095283550,8386.23
gather,16777216,1,8875557485,2095283550,241.74
transfer,16777216,1,3275184672,2095283550,655.10
gather,16777216,1,8865869555,2095283550,242.00
broadcast,33554432,1,617864738,2095283550,6945.11
gather,33554432,1,17699126806,2095283550,242.45
transfer,33554432,1,6445480833,2095283550,665.76
gather,33554432,1,17716176544,2095283550,242.22
broadcast,64,2,52895,2095283550,154.73
gather,64,2,68668,2095283550,119.19
transfer,64,2,59010,2095283550,138.70
gather,64,2,68930,2095283550,118.74
broadcast,128,2,51327,2095283550,318.92
gather,128,2,125224,2095283550,130.72
transfer,128,2,88994,2095283550,183.94
gather,128,2,98760,2095283550,165.75
broadcast,256,2,41621,2095283550,786.59
gather,256,2,122525,2095283550,267.20
transfer,256,2,70151,2095283550,466.69
gather,256,2,116887,2095283550,280.09
broadcast,512,2,88362,2095283550,741.02
gather,512,2,206609,2095283550,316.92
transfer,512,2,127092,2095283550,515.20
gather,512,2,222930,2095283550,293.71
broadcast,1024,2,88452,2095283550,1480.52
gather,1024,2,385108,2095283550,340.05
transfer,1024,2,161217,2095283550,812.29
gather,1024,2,374773,2095283550,349.43
broadcast,2048,2,92122,2095283550,2843.08
gather,2048,2,663814,2095283550,394.55
transfer,2048,2,274944,2095283550,952.60
gather,2048,2,663639,2095283550,394.66
broadcast,4096,2,144898,2095283550,3615.10
gather,4096,2,1293933,2095283550,404.83
transfer,4096,2,513223,2095283550,1020.65
gather,4096,2,1226029,2095283550,427.25
broadcast,8192,2,230946,2095283550,4536.31
gather,8192,2,2458052,2095283550,426.21
transfer,8192,2,826435,2095283550,1267.66
gather,8192,2,2037915,2095283550,514.08
broadcast,16384,2,437853,2095283550,4785.36
gather,16384,2,4174104,2095283550,501.97
transfer,16384,2,976143,2095283550,2146.49
gather,16384,2,3853185,2095283550,543.78
broadcast,32768,2,809087,2095283550,5179.38
gather,32768,2,7901134,2095283550,530.38
transfer,32768,2,1134923,2095283550,3692.38
gather,32768,2,7382940,2095283550,567.60
broadcast,65536,2,1630088,2095283550,5141.52
gather,65536,2,16529588,2095283550,507.04
transfer,65536,2,2337527,2095283550,3585.47
gather,65536,2,16088368,2095283550,520.94
broadcast,131072,2,2904643,2095283550,5770.85
gather,131072,2,28164207,2095283550,595.16
transfer,131072,2,4568917,2095283550,3668.76
gather,131072,2,28098048,2095283550,596.56
broadcast,262144,2,5034756,2095283550,6658.62
gather,262144,2,83065793,2095283550,403.59
transfer,262144,2,9972808,2095283550,3361.59
gather,262144,2,82772067,2095283550,405.02
broadcast,524288,2,6734478,2095283550,9956.09
gather,524288,2,265185045,2095283550,252.84
transfer,524288,2,32558488,2095283550,2059.34
gather,524288,2,260883229,2095283550,257.01
broadcast,1048576,2,13022618,2095283550,10297.33
gather,1048576,2,343199018,2095283550,390.73
transfer,1048576,2,73706164,2095283550,1819.36
gather,1048576,2,343915172,2095283550,389.92
broadcast,2097152,2,18448933,2095283550,14537.23
gather,2097152,2,1467727014,2095283550,182.73
transfer,2097152,2,191664277,2095283550,1399.30
gather,2097152,2,1469046020,2095283550,182.56
broadcast,4194304,2,49614199,2095283550,10811.27
gather,4194304,2,1293533023,2095283550,414.67
transfer,4194304,2,402794609,2095283550,1331.68
gather,4194304,2,1295066422,2095283550,414.18
broadcast,8388608,2,69956170,2095283550,15335.10
gather,8388608,2,5356373285,2095283550,200.28
transfer,8388608,2,801839991,2095283550,1337.90
gather,8388608,2,5303811566,2095283550,202.27
broadcast,16777216,2,138739859,2095283550,15464.70
gather,16777216,2,11055547663,2095283550,194.07
transfer,16777216,2,1626350338,2095283550,1319.25
gather,16777216,2,11010896520,2095283550,194.86
broadcast,33554432,2,368961470,2095283550,11630.32
gather,33554432,2,22466065180,2095283550,191.01
transfer,33554432,2,3284262959,2095283550,1306.58
gather,33554432,2,22443875725,2095283550,191.19
broadcast,64,3,101102,2095283550,80.95
gather,64,3,87811,2095283550,93.21
transfer,64,3,93538,2095283550,87.50
gather,64,3,104097,2095283550,78.63
broadcast,128,3,118443,2095283550,138.20
gather,128,3,107993,2095283550,151.58
transfer,128,3,106990,2095283550,153.00
gather,128,3,116514,2095283550,140.49
broadcast,256,3,118743,2095283550,275.71
gather,256,3,161263,2095283550,203.01
transfer,256,3,118370,2095283550,276.58
gather,256,3,157405,2095283550,207.99
broadcast,512,3,112447,2095283550,582.30
gather,512,3,224651,2095283550,291.46
transfer,512,3,137448,2095283550,476.38
gather,512,3,214541,2095283550,305.20
broadcast,1024,3,92375,2095283550,1417.65
gather,1024,3,268577,2095283550,487.59
transfer,1024,3,132941,2095283550,985.06
gather,1024,3,263429,2095283550,497.12
broadcast,2048,3,157255,2095283550,1665.51
gather,2048,3,577047,2095283550,453.88
transfer,2048,3,279022,2095283550,938.67
gather,2048,3,566728,2095283550,462.14
broadcast,4096,3,180457,2095283550,2902.75
gather,4096,3,1135020,2095283550,461.51
transfer,4096,3,462232,2095283550,1133.24
gather,4096,3,1007688,2095283550,519.82
broadcast,8192,3,190241,2095283550,5506.92
gather,8192,3,1705907,2095283550,614.13
transfer,8192,3,760485,2095283550,1377.60
gather,8192,3,1438764,2095283550,728.15
broadcast,16384,3,362349,2095283550,5782.50
gather,16384,3,3517544,2095283550,595.67
transfer,16384,3,835661,2095283550,2507.34
gather,16384,3,2559402,2095283550,818.66
broadcast,32768,3,612286,2095283550,6844.13
gather,32768,3,5872448,2095283550,713.60
transfer,32768,3,949258,2095283550,4414.57
gather,32768,3,4809505,2095283550,871.31
broadcast,65536,3,1187664,2095283550,7056.82
gather,65536,3,10345249,2095283550,810.14
transfer,65536,3,1732516,2095283550,4837.55
gather,65536,3,9488699,2095283550,883.28
broadcast,131072,3,2258121,2095283550,7423.10
gather,131072,3,19172797,2095283550,874.27
transfer,131072,3,3452870,2095283550,4854.59
gather,131072,3,18862199,2095283550,888.67
broadcast,262144,3,3688930,2095283550,9087.88
gather,262144,3,38926623,2095283550,861.22
transfer,262144,3,6950367,2095283550,4823.42
gather,262144,3,39029128,2095283550,858.96
broadcast,524288,3,5854936,2095283550,11451.72
gather,524288,3,127683085,2095283550,525.12
transfer,524288,3,24867912,2095283550,2696.21
gather,524288,3,127075416,2095283550,527.63
broadcast,1048576,3,10615202,2095283550,12632.65
gather,1048576,3,342682953,2095283550,391.32
transfer,1048576,3,67093326,2095283550,1998.68
gather,1048576,3,343610845,2095283550,390.26
broadcast,2097152,3,18914600,2095283550,14179.33
gather,2097152,3,758100204,2095283550,353.77
transfer,2097152,3,147853225,2095283550,1813.94
gather,2097152,3,753618378,2095283550,355.88
broadcast,4194304,3,39705420,2095283550,13509.30
gather,4194304,3,1580176864,2095283550,339.45
transfer,4194304,3,301806971,2095283550,1777.27
gather,4194304,3,1576355816,2095283550,340.27
broadcast,8388608,3,77061570,2095283550,13921.14
gather,8388608,3,3127625556,2095283550,343.00
transfer,8388608,3,612905095,2095283550,1750.33
gather,8388608,3,3125280708,2095283550,343.26
broadcast,16777216,3,140573199,2095283550,15263.01
gather,16777216,3,6388824605,2095283550,335.83
transfer,16777216,3,1238287574,2095283550,1732.69
gather,16777216,3,6393150227,2095283550,335.60
broadcast,33554432,3,295518261,2095283550,14520.73
gather,33554432,3,12614107599,2095283550,340.19
transfer,33554432,3,2473069117,2095283550,1735.15
gather,33554432,3,12621721865,2095283550,339.98
broadcast,64,4,121872,2095283550,67.16
gather,64,4,115212,2095283550,71.04
transfer,64,4,107523,2095283550,76.12
gather,64,4,133139,2095283550,61.47
broadcast,128,4,131112,2095283550,124.85
gather,128,4,163766,2095283550,99.96
transfer,128,4,126948,2095283550,128.95
gather,128,4,148448,2095283550,110.27
broadcast,256,4,125612,2095283550,260.63
gather,256,4,166807,2095283550,196.27
transfer,256,4,130627,2095283550,250.63
gather,256,4,163710,2095283550,199.98
broadcast,512,4,117584,2095283550,556.86
gather,512,4,212486,2095283550,308.15
transfer,512,4,133342,2095283550,491.05
gather,512,4,224863,2095283550,291.19
broadcast,1024,4,146544,2095283550,893.62
gather,1024,4,335351,2095283550,390.50
transfer,1024,4,181550,2095283550,721.32
gather,1024,4,324065,2095283550,404.10
broadcast,2048,4,169284,2095283550,1547.17
gather,2048,4,642952,2095283550,407.36
transfer,2048,4,259325,2095283550,1009.97
gather,2048,4,597407,2095283550,438.41
broadcast,4096,4,186382,2095283550,2810.47
gather,4096,4,910511,2095283550,575.30
transfer,4096,4,349397,2095283550,1499.21
gather,4096,4,883280,2095283550,593.04
broadcast,8192,4,218212,2095283550,4801.03
gather,8192,4,1931906,2095283550,542.28
transfer,8192,4,511333,2095283550,2048.84
gather,8192,4,2088725,2095283550,501.57
broadcast,16384,4,305289,2095283550,6863.28
gather,16384,4,3018486,2095283550,694.15
transfer,16384,4,757433,2095283550,2766.30
gather,16384,4,2092892,2095283550,1001.14
broadcast,32768,4,522599,2095283550,8018.70
gather,32768,4,4786135,2095283550,875.56
transfer,32768,4,816779,2095283550,5130.60
gather,32768,4,3677237,2095283550,1139.60
broadcast,65536,4,948530,2095283550,8835.92
gather,65536,4,8239959,2095283550,1017.13
transfer,65536,4,1143246,2095283550,7331.00
gather,65536,4,7229615,2095283550,1159.28
broadcast,131072,4,1803794,2095283550,9292.78
gather,131072,4,14890592,2095283550,1125.70
transfer,131072,4,2331470,2095283550,7189.57
gather,131072,4,14340195,2095283550,1168.90
broadcast,262144,4,3269233,2095283550,10254.56
gather,262144,4,34788520,2095283550,963.67
transfer,262144,4,4627998,2095283550,7243.85
gather,262144,4,35051826,2095283550,956.43
broadcast,524288,4,6115573,2095283550,10963.66
gather,524288,4,118036362,2095283550,568.04
transfer,524288,4,17052744,2095283550,3931.86
gather,524288,4,117558969,2095283550,570.34
broadcast,1048576,4,11183928,2095283550,11990.25
gather,1048576,4,308932332,2095283550,434.07
transfer,1048576,4,48406869,2095283550,2770.23
gather,1048576,4,309720861,2095283550,432.96
broadcast,2097152,4,21570328,2095283550,12433.58
gather,2097152,4,661308703,2095283550,405.55
transfer,2097152,4,109185243,2095283550,2456.34
gather,2097152,4,661467261,2095283550,405.46
broadcast,4194304,4,43577892,2095283550,12308.82
gather,4194304,4,1330531926,2095283550,403.14
transfer,4194304,4,230684280,2095283550,2325.22
gather,4194304,4,1331972669,2095283550,402.71
broadcast,8388608,4,87539096,2095283550,12254.93
gather,8388608,4,2663508249,2095283550,402.77
transfer,8388608,4,437657807,2095283550,2451.20
gather,8388608,4,2657882763,2095283550,403.62
broadcast,16777216,4,146260635,2095283550,14669.50
gather,16777216,4,5311417378,2095283550,403.95
transfer,16777216,4,877503837,2095283550,2445.08
gather,16777216,4,5304646294,2095283550,404.47
broadcast,33554432,4,265729106,2095283550,16148.55
gather,33554432,4,10554227166,2095283550,406.58
transfer,33554432,4,1698744211,2095283550,2526.07
gather,33554432,4,10552458141,2095283550,406.65
broadcast,64,5,172243,2095283550,47.52
gather,64,5,166583,2095283550,49.13
transfer,64,5,152075,2095283550,53.82
gather,64,5,170649,2095283550,47.96
broadcast,128,5,136341,2095283550,120.06
gather,128,5,155098,2095283550,105.54
transfer,128,5,137576,2095283550,118.98
gather,128,5,158297,2095283550,103.41
broadcast,256,5,171269,2095283550,191.15
gather,256,5,204891,2095283550,159.79
transfer,256,5,163867,2095283550,199.79
gather,256,5,201663,2095283550,162.34
broadcast,512,5,163765,2095283550,399.83
gather,512,5,270848,2095283550,241.75
transfer,512,5,169935,2095283550,385.31
gather,512,5,269986,2095283550,242.52
broadcast,1024,5,209596,2095283550,624.80
gather,1024,5,366823,2095283550,357.00
transfer,1024,5,276389,2095283550,473.81
gather,1024,5,353891,2095283550,370.04
broadcast,2048,5,183335,2095283550,1428.59
gather,2048,5,492853,2095283550,531.42
transfer,2048,5,262027,2095283550,999.56
gather,2048,5,507651,2095283550,515.93
broadcast,4096,5,199200,2095283550,2629.62
gather,4096,5,941570,2095283550,556.33
transfer,4096,5,380015,2095283550,1378.42
gather,4096,5,909330,2095283550,576.05
broadcast,8192,5,232823,2095283550,4499.73
gather,8192,5,1665684,2095283550,628.96
transfer,8192,5,590127,2095283550,1775.28
gather,8192,5,1455529,2095283550,719.77
broadcast,16384,5,323202,2095283550,6482.89
gather,16384,5,3363419,2095283550,622.96
transfer,16384,5,961296,2095283550,2179.64
gather,16384,5,2863386,2095283550,731.75
broadcast,32768,5,519419,2095283550,8067.80
gather,32768,5,5220654,2095283550,802.69
transfer,32768,5,912730,2095283550,4591.25
gather,32768,5,4086277,2095283550,1025.52
broadcast,65536,5,952710,2095283550,8797.15
gather,65536,5,8920507,2095283550,939.54
transfer,65536,5,1181540,2095283550,7093.40
gather,65536,5,8352593,2095283550,1003.42
broadcast,131072,5,1683293,2095283550,9958.02
gather,131072,5,21340561,2095283550,785.47
transfer,131072,5,2370632,2095283550,7070.80
gather,131072,5,21082304,2095283550,795.09
broadcast,262144,5,3210888,2095283550,10440.89
gather,262144,5,49080515,2095283550,683.05
transfer,262144,5,5291592,2095283550,6335.43
gather,262144,5,47771741,2095283550,701.77
broadcast,524288,5,6140375,2095283550,10919.38
gather,524288,5,116023657,2095283550,577.89
transfer,524288,5,16024270,2095283550,4184.22
gather,524288,5,115550389,2095283550,580.26
broadcast,1048576,5,11994279,2095283550,11180.18
gather,1048576,5,260855088,2095283550,514.07
transfer,1048576,5,42885208,2095283550,3126.91
gather,1048576,5,274307044,2095283550,488.86
broadcast,2097152,5,22910886,2095283550,11706.06
gather,2097152,5,572353916,2095283550,468.58
transfer,2097152,5,103158212,2095283550,2599.85
gather,2097152,5,572869764,2095283550,468.16
broadcast,4194304,5,47871737,2095283550,11204.79
gather,4194304,5,1170832560,2095283550,458.13
transfer,4194304,5,209658138,2095283550,2558.42
gather,4194304,5,1179741406,2095283550,454.67
broadcast,8388608,5,93149764,2095283550,11516.78
gather,8388608,5,2381970641,2095283550,450.38
transfer,8388608,5,417444990,2095283550,2569.88
gather,8388608,5,2379387968,2095283550,450.87
broadcast,16777216,5,175248200,2095283550,12243.04
gather,16777216,5,4765492319,2095283550,450.23
transfer,16777216,5,859162752,2095283550,2497.28
gather,16777216,5,4763921431,2095283550,450.38
broadcast,33554432,5,289602431,2095283550,14817.35
gather,33554432,5,9541752043,2095283550,449.72
transfer,33554432,5,1620165747,2095283550,2648.58
gather,33554432,5,8655572756,2095283550,495.77
broadcast,64,6,169916,2095283550,48.17
gather,64,6,171191,2095283550,47.81
transfer,64,6,169904,2095283550,48.17
gather,64,6,171459,2095283550,47.74
broadcast,128,6,195414,2095283550,83.77
gather,128,6,200738,2095283550,81.55
transfer,128,6,204378,2095283550,80.09
gather,128,6,203232,2095283550,80.55
broadcast,256,6,195140,2095283550,167.77
gather,256,6,223830,2095283550,146.27
transfer,256,6,210878,2095283550,155.25
gather,256,6,221690,2095283550,147.68
broadcast,512,6,195691,2095283550,334.60
gather,512,6,241798,2095283550,270.79
transfer,512,6,174926,2095283550,374.32
gather,512,6,250157,2095283550,261.75
broadcast,1024,6,206296,2095283550,634.79
gather,1024,6,335431,2095283550,390.41
transfer,1024,6,225054,2095283550,581.88
gather,1024,6,342497,2095283550,382.35
broadcast,2048,6,188978,2095283550,1385.93
gather,2048,6,583201,2095283550,449.09
transfer,2048,6,270139,2095283550,969.54
gather,2048,6,534875,2095283550,489.67
broadcast,4096,6,212288,2095283550,2467.50
gather,4096,6,919364,2095283550,569.76
transfer,4096,6,379854,2095283550,1379.01
gather,4096,6,839514,2095283550,623.96
broadcast,8192,6,251549,2095283550,4164.76
gather,8192,6,1821364,2095283550,575.20
transfer,8192,6,625967,2095283550,1673.64
gather,8192,6,1599766,2095283550,654.87
broadcast,16384,6,305347,2095283550,6861.98
gather,16384,6,2335930,2095283550,896.98
transfer,16384,6,786221,2095283550,2665.01
gather,16384,6,1644028,2095283550,1274.48
broadcast,32768,6,504648,2095283550,8303.94
gather,32768,6,4819447,2095283550,869.51
transfer,32768,6,1081009,2095283550,3876.53
gather,32768,6,3710852,2095283550,1129.27
broadcast,65536,6,973444,2095283550,8609.78
gather,65536,6,8128460,2095283550,1031.09
transfer,65536,6,1183433,2095283550,7082.05
gather,65536,6,7615079,2095283550,1100.60
broadcast,131072,6,1825699,2095283550,9181.29
gather,131072,6,22929102,2095283550,731.05
transfer,131072,6,3194288,2095283550,5247.58
gather,131072,6,22029125,2095283550,760.91
broadcast,262144,6,3684000,2095283550,9100.04
gather,262144,6,46813650,2095283550,716.13
transfer,262144,6,4630015,2095283550,7240.70
gather,262144,6,46451280,2095283550,721.71
broadcast,524288,6,6715820,2095283550,9983.75
gather,524288,6,98946756,2095283550,677.63
transfer,524288,6,16209374,2095283550,4136.44
gather,524288,6,98887719,2095283550,678.03
broadcast,1048576,6,13014504,2095283550,10303.75
gather,1048576,6,237413442,2095283550,564.83
transfer,1048576,6,41308139,2095283550,3246.29
gather,1048576,6,234792411,2095283550,571.13
broadcast,2097152,6,24905351,2095283550,10768.62
gather,2097152,6,439286519,2095283550,610.53
transfer,2097152,6,96820267,2095283550,2770.04
gather,2097152,6,441374164,2095283550,607.64
broadcast,4194304,6,50183193,2095283550,10688.69
gather,4194304,6,1026346240,2095283550,522.62
transfer,4194304,6,190753633,2095283550,2811.97
gather,4194304,6,1020787445,2095283550,525.47
broadcast,8388608,6,101252255,2095283550,10595.17
gather,8388608,6,1897074655,2095283550,565.49
transfer,8388608,6,395897801,2095283550,2709.75
gather,8388608,6,1892041407,2095283550,567.00
broadcast,16777216,6,152838469,2095283550,14038.16
gather,16777216,6,3584563979,2095283550,598.56
transfer,16777216,6,802211083,2095283550,2674.57
gather,16777216,6,3584969533,2095283550,598.49
broadcast,33554432,6,287678556,2095283550,14916.44
gather,33554432,6,7721777825,2095283550,555.72
transfer,33554432,6,1623732197,2095283550,2642.76
gather,33554432,6,7755678921,2095283550,553.29
broadcast,64,7,195467,2095283550,41.87
gather,64,7,196700,2095283550,41.61
transfer,64,7,188168,2095283550,43.50
gather,64,7,189322,2095283550,43.23
broadcast,128,7,258683,2095283550,63.28
gather,128,7,252995,2095283550,64.70
transfer,128,7,238739,2095283550,68.57
gather,128,7,246079,2095283550,66.52
broadcast,256,7,224443,2095283550,145.87
gather,256,7,238432,2095283550,137.31
transfer,256,7,220686,2095283550,148.35
gather,256,7,238531,2095283550,137.25
broadcast,512,7,215212,2095283550,304.25
gather,512,7,278059,2095283550,235.48
transfer,512,7,226051,2095283550,289.66
gather,512,7,273119,2095283550,239.74
broadcast,1024,7,219639,2095283550,596.23
gather,1024,7,394956,2095283550,331.57
transfer,1024,7,238708,2095283550,548.60
gather,1024,7,358205,2095283550,365.59
broadcast,2048,7,336791,2095283550,777.66
gather,2048,7,547391,2095283550,478.47
transfer,2048,7,273982,2095283550,955.94
gather,2048,7,519109,2095283550,504.54
broadcast,4096,7,215006,2095283550,2436.31
gather,4096,7,800268,2095283550,654.56
transfer,4096,7,296637,2095283550,1765.86
gather,4096,7,805566,2095283550,650.25
broadcast,8192,7,264665,2095283550,3958.37
gather,8192,7,1707630,2095283550,613.51
transfer,8192,7,672354,2095283550,1558.17
gather,8192,7,1435949,2095283550,729.58
broadcast,16384,7,497712,2095283550,4209.83
gather,16384,7,2770815,2095283550,756.20
transfer,16384,7,819896,2095283550,2555.55
gather,16384,7,2083377,2095283550,1005.72
broadcast,32768,7,531275,2095283550,7887.76
gather,32768,7,4225339,2095283550,991.77
transfer,32768,7,723630,2095283550,5791.04
gather,32768,7,3261369,2095283550,1284.91
broadcast,65536,7,965134,2095283550,8683.91
gather,65536,7,5246354,2095283550,1597.52
transfer,65536,7,1163408,2095283550,7203.95
gather,65536,7,4348036,2095283550,1927.57
broadcast,131072,7,1893754,2095283550,8851.34
gather,131072,7,23696775,2095283550,707.36
transfer,131072,7,3579992,2095283550,4682.21
gather,131072,7,23511182,2095283550,712.95
broadcast,262144,7,3539997,2095283550,9470.22
gather,262144,7,21566922,2095283550,1554.44
transfer,262144,7,4599719,2095283550,7288.39
gather,262144,7,20807457,2095283550,1611.18
broadcast,524288,7,6937763,2095283550,9664.36
gather,524288,7,106031545,2095283550,632.35
transfer,524288,7,15297746,2095283550,4382.94
gather,524288,7,105944839,2095283550,632.87
broadcast,1048576,7,12983326,2095283550,10328.49
gather,1048576,7,208900963,2095283550,641.92
transfer,1048576,7,42411170,2095283550,3161.86
gather,1048576,7,211836841,2095283550,633.03
broadcast,2097152,7,26533584,2095283550,10107.81
gather,2097152,7,415715416,2095283550,645.14
transfer,2097152,7,89426994,2095283550,2999.05
gather,2097152,7,415320654,2095283550,645.76
broadcast,4194304,7,50109950,2095283550,10704.31
gather,4194304,7,800886519,2095283550,669.75
transfer,4194304,7,186875631,2095283550,2870.32
gather,4194304,7,800780257,2095283550,669.84
broadcast,8388608,7,103832951,2095283550,10331.84
gather,8388608,7,1649250897,2095283550,650.47
transfer,8388608,7,396158887,2095283550,2707.97
gather,8388608,7,1648068477,2095283550,650.93
broadcast,16777216,7,179018352,2095283550,11985.20
gather,16777216,7,3258827596,2095283550,658.39
transfer,16777216,7,769333399,2095283550,2788.87
gather,16777216,7,3132467419,2095283550,684.95
broadcast,33554432,7,289473595,2095283550,14823.95
gather,33554432,7,6708365717,2095283550,639.67
transfer,33554432,7,1672872298,2095283550,2565.13
gather,33554432,7,7052177102,2095283550,608.48
broadcast,64,8,213575,2095283550,38.32
gather,64,8,214335,2095283550,38.19
transfer,64,8,203740,2095283550,40.17
gather,64,8,217320,2095283550,37.66
broadcast,128,8,299654,2095283550,54.63
gather,128,8,281462,2095283550,58.16
transfer,128,8,268080,2095283550,61.06
gather,128,8,287370,2095283550,56.96
broadcast,256,8,272155,2095283550,120.29
gather,256,8,329099,2095283550,99.48
transfer,256,8,270153,2095283550,121.19
gather,256,8,293011,2095283550,111.73
broadcast,512,8,259436,2095283550,252.38
gather,512,8,319622,2095283550,204.86
transfer,512,8,240335,2095283550,272.44
gather,512,8,314136,2095283550,208.44
broadcast,1024,8,254477,2095283550,514.61
gather,1024,8,387296,2095283550,338.13
transfer,1024,8,249000,2095283550,525.92
gather,1024,8,385158,2095283550,340.00
broadcast,2048,8,326146,2095283550,803.05
gather,2048,8,705170,2095283550,371.41
transfer,2048,8,389709,2095283550,672.07
gather,2048,8,590631,2095283550,443.44
broadcast,4096,8,274271,2095283550,1909.87
gather,4096,8,1035480,2095283550,505.87
transfer,4096,8,342735,2095283550,1528.36
gather,4096,8,946165,2095283550,553.63
broadcast,8192,8,286202,2095283550,3660.50
gather,8192,8,1729028,2095283550,605.91
transfer,8192,8,473201,2095283550,2213.95
gather,8192,8,1735906,2095283550,603.51
broadcast,16384,8,361777,2095283550,5791.64
gather,16384,8,3001262,2095283550,698.13
transfer,16384,8,599044,2095283550,3497.71
gather,16384,8,2467642,2095283550,849.10
broadcast,32768,8,730513,2095283550,5736.47
gather,32768,8,4611501,2095283550,908.72
transfer,32768,8,934557,2095283550,4484.01
gather,32768,8,3958950,2095283550,1058.50
broadcast,65536,8,1069387,2095283550,7837.33
gather,65536,8,8825209,2095283550,949.68
transfer,65536,8,1192704,2095283550,7027.00
gather,65536,8,8539548,2095283550,981.45
broadcast,131072,8,2190193,2095283550,7653.33
gather,131072,8,23049271,2095283550,727.24
transfer,131072,8,3451910,2095283550,4855.94
gather,131072,8,24277402,2095283550,690.45
broadcast,262144,8,3707807,2095283550,9041.61
gather,262144,8,50880396,2095283550,658.89
transfer,262144,8,2850700,2095283550,11760.11
gather,262144,8,50752843,2095283550,660.55
broadcast,524288,8,7234508,2095283550,9267.95
gather,524288,8,106649071,2095283550,628.69
transfer,524288,8,6458608,2095283550,10381.35
gather,524288,8,106656720,2095283550,628.64
broadcast,1048576,8,13858426,2095283550,9676.29
gather,1048576,8,183278795,2095283550,731.66
transfer,1048576,8,23090240,2095283550,5807.57
gather,1048576,8,182254255,2095283550,735.78
broadcast,2097152,8,27033656,2095283550,9920.83
gather,2097152,8,365777332,2095283550,733.22
transfer,2097152,8,50123129,2095283550,5350.75
gather,2097152,8,364213883,2095283550,736.37
broadcast,4194304,8,54429909,2095283550,9854.74
gather,4194304,8,783241772,2095283550,684.84
transfer,4194304,8,107557588,2095283550,4987.03
gather,4194304,8,784774400,2095283550,683.50
broadcast,8388608,8,107073835,2095283550,10019.12
gather,8388608,8,1639879095,2095283550,654.19
transfer,8388608,8,225646378,2095283550,4754.28
gather,8388608,8,1634305448,2095283550,656.42
